timestamp_ms,VOC_raw,VOC_voltage,raw_ch0,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,raw_ch9,raw_ch10,raw_ch11,reflect_ch0,reflect_ch1,reflect_ch2,reflect_ch3,reflect_ch4,reflect_ch5,reflect_ch6,reflect_ch7,reflect_ch8,reflect_ch9,reflect_ch10,reflect_ch11,absorb_ch0,absorb_ch1,absorb_ch2,absorb_ch3,absorb_ch4,absorb_ch5,absorb_ch6,absorb_ch7,absorb_ch8,absorb_ch9,absorb_ch10,absorb_ch11,CFU_value,label
55340,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
56410,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
57479,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
58548,0,0,1,1,0,0,9,0,0,6,28,1,9,0,inf,inf,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,inf,inf,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
59618,0,0,0,1,0,0,9,0,0,5,28,1,9,0,nan,inf,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,inf,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
60688,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
61757,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
62827,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
63897,0,0,0,0,0,0,9,0,0,6,28,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,-0.301,0,nan,500,Spoiled
64966,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
66036,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
67106,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
68174,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
69243,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
70312,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
71381,0,0,0,0,0,0,9,0,0,5,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.016,0,0,nan,500,Spoiled
